Estado,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
DTTO. CAPITAL,1608976,1608976,1292524,1292524,1267287,25237,3207,3207,440,1253,796,5324,564312,695162
EDO. AMAZONAS,96290,80214,63712,63712,61796,1916,232,185,22,28,23,494,28333,32896
EDO. ANZOATEGUI,1006509,989940,804485,804485,788038,16447,2013,1977,235,298,430,5034,376613,405428
EDO. APURE,310047,300835,236680,236680,231857,4823,688,663,53,61,141,1378,77337,152887
EDO. ARAGUA,1164714,1157510,957995,957995,939528,18467,2295,2281,249,572,598,4277,383595,550237
EDO. BARINAS,525152,507726,409930,409930,401274,8656,1164,1116,80,103,217,2058,161688,237128
EDO. BOLIVAR,941697,908125,718985,718985,704439,14546,1990,1904,214,311,428,4690,322347,376449
EDO. CARABOBO,1516240,1501444,1209980,1209980,1189286,20694,2923,2887,392,638,623,5637,535133,646863
EDO. COJEDES,223028,220670,182082,182082,177586,4496,501,495,70,69,81,1096,60382,115888
EDO. DELTA AMAC,113246,100269,76216,76216,74359,1857,290,252,39,25,56,598,25152,48489
EDO. FALCON,634614,620298,498227,498227,487974,10253,1447,1408,138,179,239,2732,192849,291837
EDO. GUARICO,500651,467223,376708,376708,369595,7113,1066,991,120,143,231,2112,130647,236342
EDO. LARA,1197690,1161288,963402,963402,945038,18364,2537,2432,335,521,782,5797,455317,482286
EDO. MERIDA,576870,567347,471637,471637,462836,8801,1246,1219,131,170,186,1621,236726,224002
EDO. MIRANDA,1950657,1933761,1564247,1564247,1535477,28770,3852,3816,408,1128,787,5562,761119,766473
EDO. MONAGAS,595085,573136,463325,463325,454319,9006,1247,1198,97,157,232,2696,186729,264408
EDO. PORTUGUESA,577589,560056,462174,462174,452086,10088,1293,1246,191,171,359,2714,129109,319542
EDO. SUCRE,627622,615902,469495,469495,461758,7737,1398,1367,121,137,238,2052,181318,277892
EDO. TACHIRA,799086,787069,639797,639797,626823,12974,1705,1676,110,241,201,2384,352851,271036
EDO. TRUJILLO,501516,495257,398003,398003,390547,7456,1199,1184,84,125,206,1518,138538,250076
EDO. VARGAS,265911,263656,209774,209774,205669,4105,553,547,68,157,133,1007,77939,126365
EDO. YARACUY,405385,399730,329199,329199,321276,7923,923,911,112,136,208,1702,126419,192699
EDO. ZULIA,2334529,2315534,1840325,1840325,1812023,28302,4580,4536,319,596,788,5312,838919,966089
EDO.NVA.ESPARTA,329544,324177,262838,262838,258004,4834,669,658,34,89,80,1141,125078,131582
